Country,Country_Code,Crop,Crop_Code,Year,Unit,Yield,Crop_Category,Fertilizer_Nutrient nitrogen N (total),Fertilizer_Nutrient phosphate P2O5 (total),Fertilizer_Nutrient potash K2O (total),Pesticide_Total_Tonnes,ISO3,Agricultural Land (%),GDP (USD),Rainfall (mm),Temperature (C),Region
Afghanistan,2,Grapes,560,2016,kg/ha,10606.9,Fruits,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2017,kg/ha,10595.1,Fruits,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2018,kg/ha,11244.5,Fruits,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2019,kg/ha,12422.0,Fruits,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2020,kg/ha,10729.5,Fruits,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2021,kg/ha,10727.9,Fruits,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2022,kg/ha,9825.0,Fruits,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Grapes,560,2023,kg/ha,11677.4,Fruits,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2015,No/An,42.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2015,g/An,2124.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2016,No/An,42.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2016,g/An,2124.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2017,No/An,37.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2017,g/An,1871.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2018,No/An,42.0,Other,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2018,g/An,2119.0,Other,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2019,No/An,42.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2019,g/An,2116.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2020,No/An,42.0,Other,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2020,g/An,2115.0,Other,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2021,No/An,42.0,Other,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2021,g/An,2112.0,Other,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2022,No/An,42.0,Other,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2022,g/An,2114.0,Other,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2023,No/An,42.0,Other,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Hen eggs in shell, fresh",1062,2023,g/An,2113.0,Other,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2015,kg/ha,673.9,Oil Crops,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2016,kg/ha,378.7,Oil Crops,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2017,kg/ha,737.1,Oil Crops,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2018,kg/ha,1030.2,Oil Crops,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2019,kg/ha,1435.2,Oil Crops,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2020,kg/ha,1100.6,Oil Crops,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2021,kg/ha,994.8,Oil Crops,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2022,kg/ha,904.3,Oil Crops,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Linseed,333,2023,kg/ha,828.6,Oil Crops,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2015,kg/ha,2145.7,Cereals,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2016,kg/ha,2051.7,Cereals,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2017,kg/ha,1295.7,Cereals,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2018,kg/ha,1472.7,Cereals,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2019,kg/ha,1945.7,Cereals,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2020,kg/ha,1934.4,Cereals,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2021,kg/ha,1900.4,Cereals,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2022,kg/ha,2237.4,Cereals,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,Maize (corn),56,2023,kg/ha,2858.3,Cereals,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2015,kg/An,180.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2016,kg/An,180.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2017,kg/An,180.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2018,kg/An,180.0,Other,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2019,kg/An,180.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2020,kg/An,180.0,Other,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2021,kg/An,180.0,Other,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2022,kg/An,180.0,Other,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of camels, fresh or chilled",1127,2023,kg/An,180.0,Other,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2015,kg/An,180.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2016,kg/An,160.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2017,kg/An,176.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2018,kg/An,152.0,Other,241259.6,29265.510000000002,37.629999999999995,,AFG,58.2769881790166,18053222687.4126,272.3,14.25,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2019,kg/An,142.0,Other,242111.35,52221.72,204.04,,AFG,58.2769881790166,18799444490.1128,394.8,13.58,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2020,kg/An,146.0,Other,199012.61000000002,49941.6,277.59000000000003,,AFG,58.7415482268525,19955929052.1496,398.2,12.91,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2021,kg/An,143.0,Other,82608.67,16071.38,215.41,,AFG,58.7415482268525,14259995441.0759,217.52,14.28,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2022,kg/An,144.0,Other,78465.66,27122.5,7.67,,AFG,58.7415482268525,14497243872.1337,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of cattle with the bone, fresh or chilled",867,2023,kg/An,145.0,Other,77670.72,32963.25,1125.74,,AFG,58.4395075356853,17152234636.8715,301.25,14.48,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of chickens, fresh or chilled",1058,2015,g/An,800.0,Other,185062.41,21777.45,123.86,,AFG,58.123668031216,19134221644.7325,406.96,13.66,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of chickens, fresh or chilled",1058,2016,g/An,800.0,Other,193574.75,18286.84,175.46,,AFG,58.123668031216,18116572395.0772,373.35,14.19,"Middle East, North Africa, Afghanistan & Pakistan"
Afghanistan,2,"Meat of chickens, fresh or chilled",1058,2017,g/An,800.0,Other,332639.63,41850.369999999995,70.41,,AFG,58.123668031216,18753456497.8159,297.65,13.82,"Middle East, North Africa, Afghanistan & Pakistan"